series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,57,1368,1392,2013-03-28 00:00:00,2013-03-28 23:00:00,1fe4b01da96b5961,71,14,target,target,0.02816801704466343,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,58,1392,1416,2013-03-29 00:00:00,2013-03-29 23:00:00,184baa1c75c4265d,71,14,target,target,0.027407290413975716,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,59,1416,1440,2013-04-01 00:00:00,2013-04-01 23:00:00,bdd40d26cdf47b3c,71,14,target,target,0.026950031518936157,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,60,1440,1464,2013-04-02 00:00:00,2013-04-02 23:00:00,2ec8f7827a253721,71,14,target,target,0.027808140963315964,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,61,1464,1488,2013-04-03 00:00:00,2013-04-03 23:00:00,06f17b7e75566e2e,71,14,target,target,0.0285788606852293,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,62,1488,1512,2013-04-04 00:00:00,2013-04-04 23:00:00,660918506a07f7d2,71,14,target,target,0.028304606676101685,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,63,1512,1536,2013-04-05 00:00:00,2013-04-05 23:00:00,db7f3748143c1e01,71,14,target,target,0.02963654138147831,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,64,1536,1560,2013-04-08 00:00:00,2013-04-08 23:00:00,c16f885e6dba06be,71,14,target,target,0.027880694717168808,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,65,1560,1584,2013-04-09 00:00:00,2013-04-09 23:00:00,5471dca7bf305281,71,14,target,target,0.027196697890758514,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,66,1584,1608,2013-04-10 00:00:00,2013-04-10 23:00:00,ba7edeb04f1255fc,71,14,target,target,0.028087256476283073,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
